name,type,id,uri,part_of_name,part_of_type,part_of_id
Bankipore,city,40827,https://ismi.mpiwg-berlin.mpg.de/place/40827,null,null,null
Barda (Barḏaʿaẗ),city,442398,https://ismi.mpiwg-berlin.mpg.de/place/442398,Azerbaijan,country,178920
Barudi,city,86545,https://ismi.mpiwg-berlin.mpg.de/place/86545,null,null,null
Baṣra,city,93607,https://ismi.mpiwg-berlin.mpg.de/place/93607,Iraq,country,173298
Bayhaq,null,422190,https://ismi.mpiwg-berlin.mpg.de/place/422190,Khurāsān,city_district,310384
Beirut,city,86325,https://ismi.mpiwg-berlin.mpg.de/place/86325,Lebanon,country,174621
Belgium,country,179327,https://ismi.mpiwg-berlin.mpg.de/place/179327,null,null,null
Berlin,city,87247,https://ismi.mpiwg-berlin.mpg.de/place/87247,Germany,country,174492
Birgi,null,447960,https://ismi.mpiwg-berlin.mpg.de/place/447960,İzmir,city,49174
"Birmingham, U.K.",city,86475,https://ismi.mpiwg-berlin.mpg.de/place/86475,UK,country,174533
Alamūt,city,168025,https://ismi.mpiwg-berlin.mpg.de/place/168025,Iran,country,174469
Bologna,city,88220,https://ismi.mpiwg-berlin.mpg.de/place/88220,Italy,country,173763
Bombay,city,431413,https://ismi.mpiwg-berlin.mpg.de/place/431413,India,country,174638
Bosnia/Herzegovina,country,179005,https://ismi.mpiwg-berlin.mpg.de/place/179005,null,null,null
Boston,city,88049,https://ismi.mpiwg-berlin.mpg.de/place/88049,USA,country,173554
Bourron,city,25201,https://ismi.mpiwg-berlin.mpg.de/place/25201,France,country,174775
Bratislava,city,86686,https://ismi.mpiwg-berlin.mpg.de/place/86686,Slovakia,country,173935
Brussels,city,88007,https://ismi.mpiwg-berlin.mpg.de/place/88007,Belgium,country,179327
Budapest,city,88038,https://ismi.mpiwg-berlin.mpg.de/place/88038,Hungary,country,178964
Bukhara,city,87068,https://ismi.mpiwg-berlin.mpg.de/place/87068,Uzbekistan,country,173272
Bulgaria,country,449376,https://ismi.mpiwg-berlin.mpg.de/place/449376,null,null,null
Burdur,city,88226,https://ismi.mpiwg-berlin.mpg.de/place/88226,Turkey,country,174510
Damascus,city,85658,https://ismi.mpiwg-berlin.mpg.de/place/85658,Syria,country,174694
Damietta,city,87313,https://ismi.mpiwg-berlin.mpg.de/place/87313,Egypt,country,173189
Bursa,city,85627,https://ismi.mpiwg-berlin.mpg.de/place/85627,Turkey,country,174510
Būzjān,city_district,152291,https://ismi.mpiwg-berlin.mpg.de/place/152291,null,null,null
Cairo,city,85226,https://ismi.mpiwg-berlin.mpg.de/place/85226,Egypt,country,173189
Calcutta,city,86381,https://ismi.mpiwg-berlin.mpg.de/place/86381,India,country,174638
"Cambridge, MA",city,86439,https://ismi.mpiwg-berlin.mpg.de/place/86439,USA,country,173554
"Cambridge, UK",city,86828,https://ismi.mpiwg-berlin.mpg.de/place/86828,UK,country,174533
Canada,country,179459,https://ismi.mpiwg-berlin.mpg.de/place/179459,null,null,null
Carmona,null,414387,https://ismi.mpiwg-berlin.mpg.de/place/414387,Spain,country,174730
Central Asia,country,93084,https://ismi.mpiwg-berlin.mpg.de/place/93084,null,null,null
Ceuta (northern Morocco),city,119665,https://ismi.mpiwg-berlin.mpg.de/place/119665,Spain,country,174730
Constantinople,city,85210,https://ismi.mpiwg-berlin.mpg.de/place/85210,null,null,null
Copenhagen,city,87876,https://ismi.mpiwg-berlin.mpg.de/place/87876,Denmark,country,179170
Cordova (Spain),city,85178,https://ismi.mpiwg-berlin.mpg.de/place/85178,null,null,null
Çorum,city,86378,https://ismi.mpiwg-berlin.mpg.de/place/86378,Turkey,country,174510
Cremona,city,338465,https://ismi.mpiwg-berlin.mpg.de/place/338465,Italy,country,173763
Fez,city,87971,https://ismi.mpiwg-berlin.mpg.de/place/87971,null,null,null
Deccan,region,441543,https://ismi.mpiwg-berlin.mpg.de/place/441543,India,country,174638
Denia (Spain),city,87127,https://ismi.mpiwg-berlin.mpg.de/place/87127,null,null,null
Denmark,country,179170,https://ismi.mpiwg-berlin.mpg.de/place/179170,null,null,null
Detroit,city,88072,https://ismi.mpiwg-berlin.mpg.de/place/88072,USA,country,173554
Dhaka,city,86551,https://ismi.mpiwg-berlin.mpg.de/place/86551,Bangladesh,country,179186
Dhamār,city,479550,https://ismi.mpiwg-berlin.mpg.de/place/479550,Yemen,country,178900
Dīnawar,city,450324,https://ismi.mpiwg-berlin.mpg.de/place/450324,null,null,null
Diyarbakir,city,87384,https://ismi.mpiwg-berlin.mpg.de/place/87384,Turkey,country,174510
Doha,city,493137,https://ismi.mpiwg-berlin.mpg.de/place/493137,Qatar,country,493134
Dresden,city,87480,https://ismi.mpiwg-berlin.mpg.de/place/87480,Germany,country,174492
Dublin,city,86683,https://ismi.mpiwg-berlin.mpg.de/place/86683,Ireland,country,179659
Dushanbe,city,87927,https://ismi.mpiwg-berlin.mpg.de/place/87927,Tajikistan,country,179518
Écija,null,356027,https://ismi.mpiwg-berlin.mpg.de/place/356027,Spain,country,174730
Edessa,city,328715,https://ismi.mpiwg-berlin.mpg.de/place/328715,null,null,null
"Edinburgh, Scotland",city,87546,https://ismi.mpiwg-berlin.mpg.de/place/87546,UK,country,174533
Edirne,city,85246,https://ismi.mpiwg-berlin.mpg.de/place/85246,Turkey,country,174510
Egypt,country,173189,https://ismi.mpiwg-berlin.mpg.de/place/173189,null,null,null
Elche (Andalusia),city,119513,https://ismi.mpiwg-berlin.mpg.de/place/119513,Spain,country,174730
Erbil,null,437015,https://ismi.mpiwg-berlin.mpg.de/place/437015,null,null,null
Erfurt,city,24616,https://ismi.mpiwg-berlin.mpg.de/place/24616,Germany,country,174492
Erzincan,city,87114,https://ismi.mpiwg-berlin.mpg.de/place/87114,Turkey,country,174510
Erzurum,city,270897,https://ismi.mpiwg-berlin.mpg.de/place/270897,Turkey,country,174510
Ethiopia,country,330883,https://ismi.mpiwg-berlin.mpg.de/place/330883,null,null,null
Farab,null,422251,https://ismi.mpiwg-berlin.mpg.de/place/422251,null,null,null
Farghāna,city,333575,https://ismi.mpiwg-berlin.mpg.de/place/333575,null,null,null
Fās,city,179766,https://ismi.mpiwg-berlin.mpg.de/place/179766,Morocco,country,173531
Fatḥ-Nakr,city_district,441547,https://ismi.mpiwg-berlin.mpg.de/place/441547,Deccan,region,441543
Giza,city,142708,https://ismi.mpiwg-berlin.mpg.de/place/142708,Egypt,country,173189
Glasgow,city,86946,https://ismi.mpiwg-berlin.mpg.de/place/86946,UK,country,174533
Golkanda,city,179423,https://ismi.mpiwg-berlin.mpg.de/place/179423,null,null,null
Gotha,city,87176,https://ismi.mpiwg-berlin.mpg.de/place/87176,Germany,country,174492
Florence,city,87757,https://ismi.mpiwg-berlin.mpg.de/place/87757,Italy,country,173763
France,country,174775,https://ismi.mpiwg-berlin.mpg.de/place/174775,null,null,null
